// This file contains the test vectors for the
// stopwatch controller.
// The first column (index 6) is the input rst signal
// The second column (index 5) is the input m_sec signal
// The third column (index 4) is the input c_btn signal
// The fourth column (index 3) is the input ss_btn signal
// There is one row per clock edge. The inputs
//   are set up before the clock edge. The
//   outputs are observed after the clock edge.
// The fifth column (index 2) is the async output timer_clr
// The sixth column (index 1) is the sync output timer_clr
// The seventh column (index 0) is the output tmr_on
//
//
1000_110	// reset state - async timer clear
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// now - in run state
0010_010	// timer clear should come up
0000_101	// back to run state
0000_001	// no-op in run state
0001_000	// now go back to idle state
0100_000	// turn m_sec on for 500 clocks
0101_000	// and might as well turn on the start button
0101_000	// 498
0101_000	// 497
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0101_000	// ...
0100_000	// ...
0100_000	// ...
0100_000	// ...
0100_000	// ...
0100_000	// ...
0100_000	// idle state here
0001_000	// start pushbutton to start state
0000_001	// timer back on as stwait state
0000_001	// a few more to finish it
0000_001	// ...
0000_001	// ...
0000_001	// ...
0000_001	// ...
0000_001	// ...
0000_001	// ...
0000_001	// ...
